Area,Bedrooms,Bathrooms,Parking,Age,LocationScore,MetroDistance,SchoolDistance,HospitalDistance,CrimeRate,PopulationDensity,City,Locality,PropertyType,Furnishing,Price
2497,4,1.0,1,63,4.867870985267381,3.5288171456919564,3.2135730689287407,4.793709563164988,0.7286402193937742,6074,Miami,Westside,Single-Family,Unfurnished,716500.0
1989,3,1.0,0,54,5.844103889533886,0.8401410411962056,1.5641014083902085,1.1080578871660336,0.07552477815598768,4512,Chicago,Suburbs,Single-Family,Fully Furnished,477300.0
2618,4,1.5,2,43,9.23603312974463,1.0188999137929962,4.165275613993492,7.686511415576858,1.9036302428042038,11573,Miami,Waterfront,Apartment,Semi-Furnished,1198000.0
3318,5,2.0,1,13,8.417945743918786,3.658701348488375,3.784829477377756,2.687003598945688,1.1589491521872364,10355,Chicago,Suburbs,Condo,Semi-Furnished,692900.0
1912,4,2.0,2,4,3.9474474000784223,5.0287568441479635,5.068351458384692,6.4106011635502576,1.929101415836076,7283,Houston,Westside,Apartment,Semi-Furnished,391100.0
1912,3,1.0,0,24,4.598360523295467,2.1704008997194726,2.1647029573323366,1.6854060002879543,1.565777819462586,2689,New York,Downtown,Apartment,Unfurnished,740000.0
3363,6,2.5,1,49,4.823669819674713,1.428413593361897,1.8741848228565652,10.018884257025357,3.5377173355893756,7365,Chicago,Eastside,Penthouse,Fully Furnished,904000.0
2713,5,1.5,1,72,9.301907787448478,8.438386102927705,6.551891466100482,9.469526524223134,0.22700230917537578,1002,Miami,Waterfront,Single-Family,Unfurnished,2132800.0
1724,3,1.0,1,70,9.991469896836314,0.5108603451963687,5.677099510719524,4.944603042091046,0.27798039410023245,7293,Houston,Westside,Apartment,Fully Furnished,576500.0
2534,4,2.0,2,1,8.19203441724352,4.4643192423146605,6.223210323194194,10.971823324044216,0.6268438306889498,300,Los Angeles,Eastside,Condo,Fully Furnished,1209600.0
1729,4,2.0,1,9,5.874610419948053,4.101068786107687,1.161660531689219,2.6355574311318377,1.0141071546825389,3862,Los Angeles,Suburbs,Penthouse,Semi-Furnished,975000.0
1727,3,1.5,1,1,2.0813905445398317,4.101909496638882,1.9475092179507376,9.860272109949916,3.899744733537334,6918,Houston,Uptown,Penthouse,Fully Furnished,502500.0
2293,4,1.0,0,59,7.579904452783659,9.589500883995832,4.6891458263883905,6.777337495331337,3.5621568437020508,5270,Los Angeles,Westside,Townhouse,Semi-Furnished,717300.0
569,1,1.0,0,44,5.1148893159822775,4.559285827265354,6.886170505608683,4.2901707854355156,3.0820896683865264,1542,Miami,Downtown,Townhouse,Unfurnished,240600.0
720,2,1.0,2,7,7.0638917618288435,1.2561970132472697,7.158494216714067,1.4701507515524894,0.37755941588531833,4840,New York,Uptown,Penthouse,Fully Furnished,1024600.0
1650,3,1.0,1,57,6.85355170769943,1.5261458783900825,6.688897705588433,2.4700779536891355,1.9622031522337235,5271,Houston,Uptown,Condo,Fully Furnished,427600.0
1289,1,1.0,2,6,5.846656452595099,1.736417374579289,0.5385039794585336,10.422919961590408,0.7255253473299617,4909,New York,Suburbs,Apartment,Semi-Furnished,484500.0
2351,5,2.0,1,71,9.555099181810583,0.10952633940582111,6.6028576403146655,7.479189864704726,4.014455127931183,3685,New York,Suburbs,Townhouse,Fully Furnished,857100.0
1373,3,1.0,0,20,2.1851707628427333,8.567055439005658,7.212911184664438,3.2265989215597446,0.3622206670590089,6210,Houston,Eastside,Apartment,Semi-Furnished,123200.0
970,2,1.5,0,46,7.697059875780706,0.2673930414430145,0.6426429031906861,6.202308090738993,0.22843004529201483,6789,Chicago,Waterfront,Condo,Unfurnished,533500.0
3272,5,2.5,2,0,5.278718946396368,4.2115055954547,3.446990971460507,1.7401217029902816,2.771401554597472,4191,Miami,Westside,Apartment,Fully Furnished,894000.0
1919,3,1.5,2,11,7.71032360393289,4.584754342295037,4.3855605217142735,1.6366886541888161,1.8929728734307898,7539,Houston,Eastside,Penthouse,Unfurnished,679700.0
2154,4,2.0,1,74,7.401757180317055,6.496260187944865,2.015452908491297,10.939293493827435,2.5840919948093806,4187,Miami,Waterfront,Townhouse,Unfurnished,1267200.0
960,1,1.0,0,47,2.081904020607963,2.821025998472525,4.230148117089462,5.765347326523456,0.2578620471950283,3520,New York,Waterfront,Condo,Semi-Furnished,441500.0
1664,4,2.0,0,3,4.28270796139737,4.521811648163055,7.110455146096304,4.6580222704380745,3.241533087506607,7213,New York,Uptown,Penthouse,Semi-Furnished,1225000.0
2188,3,1.5,1,33,3.5127321640302434,1.2620034746909619,6.962151549496963,11.414326006408999,1.698038116962303,7140,Chicago,Suburbs,Condo,Fully Furnished,291100.0
